game_number,game_movement,No Comments
25_4,"
41. Ra7+ Ke6 42. Nc3 Rxf4 43. Nxa4 Rxh2 44. Nc3 Rh3+ 45. Kc2 Rc4 46. Kb3 Rc6 47. Bb4 f4 48. Ka4 Nc7 49. Ne2 Ke5 50. Ra5+ Ke4 51. Bd2 Rc4+ 52. b4 Rc2","He threatens mate on a2 and my bishop, so I resigned. Many thanks for reading please leave a comment or two and rate it on the star system to let me know how I am doing with my annotations. Until next time dear reader!"
54_1,"
38... Qf5","If my opponent were not in time trouble, he may have found the drawing move 39. Be7!"
54_1,"
39. Qh8+ Kg6 40. Bf8",",... Qf6 here would allowed a perpetual with Bd3+ Bc4+ Bd3+ ..."
54_1,"
40... Qd7",",White's best try is 41. Bd3+ where the King is forced to go to f6 else Black's Queen will be skewered."
54_1,"
41. f5+ Kxf5",",I was feeling pretty bold here and pretty good about my position because I saw that once the King reaches f4, there are no more checks"
54_1,"
42. Qxh5+",",Bxg7 was a better try"
54_1,"
42... Kf4 43. Bc5 Qd5",",Once queens come off the board, Black's two knights will overpower White's bishop pair due to Black's better King position and passed IQP."
54_1,"
44. Qxd5 cxd5 45. Bg2 Nc3 46. h3 Nf6 47. Bd6+ Ke3 48. Bc5+ Kd2 49. h4 Nfe4 50. Bf8 g6 51. Bg7 Ne2+ 52. Kh2 Nf4 53. Bf3 Ke3 54. Bg4 d4",No Comments
184_1,"
27... Kxf7","Declining the rook leads to ruin. Kg8/h8 Qe8#, and Kg6 Qc6+ Kh5 Rxh7. "
184_1,"
28. Ng5+ Ke7",",Another blunder. Kg7 wins the game as it avoids the line white missed to get an advantage."
184_1,"
29. Nxh3",",Instead, Bxc5+! For example bxc5 , Nxh3 , and now the check Bb7 is blocked with e4! The game would have continued with gxh3, but White would have had the initiative with an extra queen. "
184_1,"
29... Bb7+",",The king gets mated. "
51,"
1. d4 Nf6 2. f4 e6 3. e3 c5 4. c3","Against the anti-Budapest, I play c5 asap. He answers with a Stonewall, taking me out of all my known boundaries. "
51,"
4... cxd4 5. exd4 d5",",This can't be bad. I close in my lsb, which I don't like. Another idea was d6, hoping for the break in e5, but I preferred a clearer setup. I know I'll suffer on the f column unless I play a safe f5."
51,"
6. Nf3 Nc6 7. Bd3 Ne4",",I want to keep in control of an unknown sopening. I dared to open the Qh5+ by playing f5. "
51,"
8. O-O h6",",He refuses, and I shield g4 so to avoid a Ng5 attack on e6. "
51,"
9. Nbd2 f5",",If he exchanges, I'll have a closed center and I hope I will be able to develop. But I overlooked a threat."
51,"
10. Ne5 Nxe5",",So, if Qh5+, Nf7. "
51,"
11. fxe5",",...but now, what? Qh4 was the option, but I was scared of having it trapped. So I played, foolishly..."
51,"
11... Be7",",? ...but it is a fatal mistake?"
51,"
12. Qh5+ Kd7",",Escaping Q side. Now, white can continue with c4, winning easily. "
51,"
13. Nxe4",",Why not? My pieces are closed-in!"
51,"
13... dxe4",",Bb5+, Kc7, on his way to b8 or something... I threw away the game as a fool!"
51,"
14. Bc4 Kc7 15. Qg6",",? Qf7 was probably stronger. "
51,"
15... Qg8",",Only  move to defend both pawns. e6 gets pinned..."
51,"
16. Be3",",? I'd have played d5 at once, but he wants to prevent Bc5+."
51,"
16... Bd7",",Activating the R and controlling b5."
51,"
17. Bf4",",Strange idea, since after the exchanges still a piece gets on e6, but I see the plan with the pawn d5. I miss tempoes to unravel myself, and now, Be8 just leads to Qxe6, winning. "
51,"
17... Re8",",...after d5, Bc4+ will give an extra R support to e6. "
51,"
18. d5 Bg5",",I changed my mind. The check doesn't give much to me, but if he falls for BxB, winning a panw but opening the h column for me..."
51,"
19. d6+ Kc8",",My K is safe, for the moment! "
51,"
20. Bg3",",He correctly thinks that the key for his penetration is the lsb. "
70,"
1. d4 Nf6 2. e3 c5 3. Nf3 d5 4. dxc5 e6 5. a3 Bxc5 6. Bd2","I have never palyed this kind play here, so let's go and see "
70,"
6... O-O 7. Bd3 Nc6",",wondering if I can play e5 for simple attack and release Bc8"
70,"
8. O-O e5 9. b4 Bd6 10. b5 Ne7",",well now i have make some forced moves to backward, but still e4 is my dagger"
70,"
11. Be2 Qc7",",My Queen controls c3, white has so little space"
70,"
12. h3 Ne4",",double check for c3"
70,"
13. Bb4 Bxb4 14. axb4 f6",",there is no hurry to add pressure against b5"
70,"
15. Bd3 Nd6",",again my dagger is ready for action"
70,"
16. Nh2 Qb6",",some pressure to b5"
70,"
17. Nc3 Qc7",",hmmm...Na4 -> Nc5 is too strong, so waiting again "
70,"
18. Nb1 Bd7",",again with Bishop and Knight will be not so good in a3"
70,"
19. Na3 Rfd8",",Good idea to put Rook here, d5 is my weakness"
70,"
20. Ng4 h5",",go black go...white Knight , shut the door! "
70,"
21. Nh2 g6 22. g4 h4",",the door is now closed with dagger e5"
70,"
23. Re1 Kg7",",King releases Ne7 and saves g6 also black squares are much better to stand"
70,"
24. Be2 Qc3",",Here we are, Q take strong place with force against b4 "
70,"
25. Qb1",",now white has so little space he have to play simple"
70,"
25... Nc4 26. Nxc4 dxc4 27. Bf3 Bxb5 28. Bxb7 Rab8",",now black have clear plan to attack "
70,"
29. Bf3 Rd7 30. Rd1 Rbd8 31. Rxd7 Rxd7 32. Ra5",",white is planning a6 and then Bb7 if Rd7 goes line 2"
70,"
32... a6 33. Ra1",",but black eliminates white Bishop easily"
70,"
33... Nd5 34. Bxd5 Rxd5 35. Nf3",",white knight still trying to come "
141,"
1. d4","This is an interesting game. My opponent plays the opening fine. I am just getting to the end of my opening database line, when he makes a mistake. The first move of the combination is not original. Although he has an equal position after 12 moves, mistakes on move 13, 14, 16 and 17 lead to a hopeless position. My opponent resigns rather than prolonging the agony. "
141,"
1... d5",",So he keeps the position symmetrical, at least for now."
141,"
2. c4",",The Queen's Gambit. https://en.wikipedia.org/wiki/Queen's_Gambit"
141,"
2... dxc4",",Queen's Gambit Accepted. https://en.wikipedia.org/wiki/Queen%27s_Gambit_Accepted"
141,"
3. e3",",This variation quickly regains the pawn for white."
141,"
3... Nf6",",Sensible development. "
141,"
4. Bxc4",",I regain the pawn."
141,"
4... e6",",He blocks the diagonal for my Bishop."
141,"
5. Nf3",",I prepare to castle."
141,"
5... c5",",This is thematic, striking at the centre. "
141,"
6. O-O",",I carry out my plan."
141,"
6... Nc6",",This is again often played in this variation."
141,"
7. Qe2",",According to the Gameknot World Opening database, this is the most common move in the variation. White prepares to temporarily sacrifice a pawn. "
141,"
7... Be7",",He doesn't take. The pawn sacrifice line is instead 7....cxd4 8. Rd1"
141,"
8. Rd1",",My rook comes across anyway."
141,"
8... O-O",",And he castles."
141,"
9. Nc3",",My other knight eventually comes out."
141,"
9... a6",",Preparing a queen-side advance."
141,"
10. dxc5",",I take, discovering an attack on his queen."
141,"
10... Qc7",",So he moves his queen."
